"Native.ID","Network.ID","Network.Name","Station.ID","Station.Name","History.ID","Province","Longitude","Latitude","Elevation..m.","Record.Start","Record.End","Obs.Freq","Variables","TEMP"
"ING",5,"BCH",2473,"Ingenika R. ab Swannell R.,2473",2876,"BC",-125.1030556,56.73055556,711,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",17.56
"JHT",5,"BCH",2474,"John Hart sub-station,2474",2877,"BC",-125.3086111,50.04333333,15,"1993-06-29","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",18.89
"KWA",5,"BCH",2475,"Kwadacha North - snowpillow,2475",2878,"BC",-125.0731667,57.62333333,1554,"1980-09-16","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",6.7
"LST",5,"BCH",2477,"Williston @ Lost Cabin Ck,2477",2880,"BC",-123.7467167,56.05063333,712,"1983-09-23","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",16.34
"MCQ",5,"BCH",2478,"McQue Terrace,2478",2881,"BC",-123.4041667,56.9815,1200,"1980-09-14","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",16.26
"MIS",5,"BCH",2479,"Mission Ridge,2479",2882,"BC",-122.2076944,50.76255556,1850,"1984-09-08","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",13.52
"MOB",5,"BCH",2480,"Moberly R. @ Ft. St. John,2480",2883,"BC",-121.3469444,56.09305556,600,"1982-05-26","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",17.55
"MOL",5,"BCH",2481,"Molson Ck,2481",2884,"BC",-118.22575,52.22165,1935,"1984-09-13","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",10.65
"MOR",5,"BCH",2482,"Morrissey Ridge,2482",2885,"BC",-114.975,49.44722222,1860,"1983-10-07","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",14.37
"MTR",5,"BCH",2483,"Mt. Revelstoke,2483",2886,"BC",-118.1502778,51.03916667,1850,"1993-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",12.19
